trip_name,trip_link,status,hsh
Bangalore Through the Ages - Full-Day Tour of the City with Lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d12433316-Bangalore_Through_the_Ages_Full_Day_Tour_of_the_City_with_Lunch-Bengaluru_Bangalor.html,PENDING,d8c5d4021deda0c4652153e115a70f44
Royal Mysore tour from Bangalore in private car with guide and lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d13000631-Royal_Mysore_tour_from_Bangalore_in_private_car_with_guide_and_lunch-Bengaluru_Ban.html,PENDING,bbe29aa90ede069abac35e3ae5514e25
Mysore Day Out - A Royal Experience Private Tour,https://www.tripadvisor.com/AttractionProductReview-g297628-d20100997-Mysore_Day_Out_A_Royal_Experience_Private_Tour-Bengaluru_Bangalore_District_Karnat.html,PENDING,d789b99b2826428b021ee3b718be9562
Full-Day Nandi Hills Countryside Tour by Bike,https://www.tripadvisor.com/AttractionProductReview-g297628-d11484011-Full_Day_Nandi_Hills_Countryside_Tour_by_Bike-Bengaluru_Bangalore_District_Karnata.html,PENDING,56604c9b84686a03e74b757e487f6d58
Kaurava Kunda Private Night Trekking from Bengaluru,https://www.tripadvisor.com/AttractionProductReview-g297628-d20271407-Kaurava_Kunda_Private_Night_Trekking_from_Bengaluru-Bengaluru_Bangalore_District_K.html,PENDING,5c2d42bfc37a8cb7eecbb80f0100f7f2
"Heritage Tour of Mysore,Srirangapatana & Somanathpur with Breakfast & Lunch",https://www.tripadvisor.com/AttractionProductReview-g297628-d15563375-Heritage_Tour_of_Mysore_Srirangapatana_Somanathpur_with_Breakfast_Lunch-Bengaluru_.html,PENDING,3c032213480d96f3ca375ddd38c79ed2
"1-Day Trip to The Taj Mahal, Agra from Bangalore with Commercial Return Flights",https://www.tripadvisor.com/AttractionProductReview-g297628-d13009341-1_Day_Trip_to_The_Taj_Mahal_Agra_from_Bangalore_with_Commercial_Return_Flights-Ben.html,PENDING,e4f71b1624ad47efeb57b9e0cb165362
Mysuru Day Tour- A Cultural and Offbeat experience from Bengaluru,https://www.tripadvisor.com/AttractionProductReview-g297628-d14100856-Mysuru_Day_Tour_A_Cultural_and_Offbeat_experience_from_Bengaluru-Bengaluru_Bangalo.html,PENDING,2820732a5b4675f173808b9065d9f7e6
Private Full-Day Bangalore City Tour,https://www.tripadvisor.com/AttractionProductReview-g297628-d11486836-Private_Full_Day_Bangalore_City_Tour-Bengaluru_Bangalore_District_Karnataka.html,PENDING,f954a4f80eb6542b38a6d44d2191a20d
Spectacular architecture & mystery at Talakadu & Somnathpur- Tour from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d11991601-Spectacular_architecture_mystery_at_Talakadu_Somnathpur_Tour_from_Bangalore-Bengal.html,PENDING,ee70051d0e9d03b061eece1641c1aa67
